City_locality,iso3,country,super_region,super_region_name,pm25,sat_2014
MEZE,FRA,France,1,HighIncome,16,9.0059986114502
"Miami-Fort Lauderdale-Pompano Beach, FL",USA,United States of America,1,HighIncome,6,6.00624907016754
Mianyang,CHN,China,6,SE-Asia/E-Asia/Oceania,43.75,76.9599914550781
Miaoli,CHN,China,6,SE-Asia/E-Asia/Oceania,24.6666666666667,10.1564998626709
MICHAELSTADT,DEU,Germany,1,HighIncome,12,18.8205051422119
"Michigan City-La Porte, IN",USA,United States of America,1,HighIncome,10,10.0364999771118
Middleburg,ZAF,South Africa,7,Sub-Saharan Afr,13,8.55249977111816
"Middlesborough, KY",USA,United States of America,1,HighIncome,9,6.16299915313721
MIDDLESBROUGH,GBR,United Kingdom,1,HighIncome,11,8.76750087738037
Midlands,MUS,Mauritius,7,Sub-Saharan Afr,10,2.64999747276306
MIELEC,POL,Poland,4,E-Eur/C-Eur/C-Asia,31,21.1790008544922
MIERCUREA CIUC,ROU,Romania,4,E-Eur/C-Eur/C-Asia,26,20.4840030670166
MIERES,ESP,Spain,1,HighIncome,15,8.10499954223633
Mikkeli,FIN,Finland,1,HighIncome,7,10.1920022964478
Milagro,ECU,Ecuador,5,LatAm/Carib,32,5.50050401687622
MILANO,ITA,Italy,1,HighIncome,29.3333333333333,31.3439979553223
"Milwaukee-Waukesha-West Allis, WI",USA,United States of America,1,HighIncome,9.8,8.94829940795898
"Minneapolis-St. Paul-Bloomington, MN-WI",USA,United States of America,1,HighIncome,7.58333333333333,7.74550048510234
MIRAMAS,FRA,France,1,HighIncome,15,10.4394998550415
MIRANDA DE EBRO,ESP,Spain,1,HighIncome,13,8.58500003814697
MIRANDOLA,ITA,Italy,1,HighIncome,20,31.7775020599365
MIRIBEL,FRA,France,1,HighIncome,13,13.4490013122559
Miskolc,HUN,Hungary,4,E-Eur/C-Eur/C-Asia,29,20.5525016784668
MISSISSAUGA,CAN,Canada,1,HighIncome,8,8.76549911499023
"Missoula, MT",USA,United States of America,1,HighIncome,8,3.28025019168854
MLADA BOLESLAV,CZE,Czech Republic,4,E-Eur/C-Eur/C-Asia,19,20.5120048522949
MLAWA,POL,Poland,4,E-Eur/C-Eur/C-Asia,24,21.7700023651123
MO I RANA,NOR,Norway,1,HighIncome,10,6.78150129318237
"Mobile, AL",USA,United States of America,1,HighIncome,9,8.50150012969971
MODENA,ITA,Italy,1,HighIncome,19.5,31.147008895874
"Modesto, CA",USA,United States of America,1,HighIncome,11.5,9.07699966430664
Modi'in,ISR,Israel,1,HighIncome,19.5,32.8344955444336
MOERDIJK,NLD,Netherlands,1,HighIncome,12,16.423999786377
MOERKERKE,BEL,Belgium,1,HighIncome,16,16.6200008392334
MOLDOVA NOUA,ROU,Romania,4,E-Eur/C-Eur/C-Asia,14,21.7429981231689
MOLFETTA,ITA,Italy,1,HighIncome,16,15.0930013656616
MOLINELLA,ITA,Italy,1,HighIncome,17,28.0424995422363
Monaco,FRA,Monaco,1,HighIncome,9,13.5854978561401
MONCTON,CAN,Canada,1,HighIncome,6,3.17599773406982
MONDAINO,ITA,Italy,1,HighIncome,10,23.1610012054443
MONOPOLI,ITA,Italy,1,HighIncome,13,18.3770008087158
MONS,BEL,Belgium,1,HighIncome,16,16.6054973602295
MONSERRATO,ITA,Italy,1,HighIncome,13,13.6164979934692
MONT-DE-MARSAN,FRA,France,1,HighIncome,10,8.83349895477295
MONTALE,ITA,Italy,1,HighIncome,19,24.5000057220459
MONTANA,BGR,Bulgaria,4,E-Eur/C-Eur/C-Asia,36,19.7760028839111
MONTANDON,FRA,France,1,HighIncome,9,14.4699983596802
MONTBELIARD,FRA,France,1,HighIncome,13,15.590500831604
MONTCEAU-LES-MINES,FRA,France,1,HighIncome,8,14.0859985351562
Monterrey,MEX,Mexico,5,LatAm/Carib,36,6.3650016784668
Montevideo,URY,Uruguay,1,HighIncome,13.4285714285714,6.7884989465986
"Montgomery, AL",USA,United States of America,1,HighIncome,9,8.94050025939941
MONTLUCON,FRA,France,1,HighIncome,10,11.2999973297119
MONTPELLIER,FRA,France,1,HighIncome,16,9.92924976348877
MONTREAL,CAN,Canada,1,HighIncome,10.3,6.7792492389679
MONZA,ITA,Italy,1,HighIncome,31,30.9815063476562
Moranbah,AUS,Australia,1,HighIncome,8.794534624,2.96649861335754
Moravia,CRI,Costa Rica,5,LatAm/Carib,14,4.0579981803894
MORBEGNO,ITA,Italy,1,HighIncome,16,21.2639961242676
MORELLA,ESP,Spain,1,HighIncome,4,9.08000373840332
"Morgantown, WV",USA,United States of America,1,HighIncome,9,7.71250009536743
MORGEX,ITA,Italy,1,HighIncome,15,15.1055021286011
Morogoro,TZA,Unit. Rep. of Tanzania,7,Sub-Saharan Afr,23,9.69350051879883
MORRISBURG,CAN,Canada,1,HighIncome,7,5.96099901199341
Moscow,RUS,Russian Federation,4,E-Eur/C-Eur/C-Asia,20,22.5530014038086
MOST,CZE,Czech Republic,4,E-Eur/C-Eur/C-Asia,22,18.7055034637451
MOTRIL,ESP,Spain,1,HighIncome,14,11.9940004348755
Mount Isa,AUS,Australia,1,HighIncome,6.735326517,5.48300313949585
MOUNT PEARL,CAN,Canada,1,HighIncome,6,2.8000009059906
"Mount Vernon-Anacortes, WA",USA,United States of America,1,HighIncome,6,4.22650051116943
Mpumalanga,ZAF,South Africa,7,Sub-Saharan Afr,31,9.45316727956136
MSIDA,MLT,Malta,1,HighIncome,18,21.7269992828369
Mudanjiang,CHN,China,6,SE-Asia/E-Asia/Oceania,49.8,28.1363014221191
MUGGIA,ITA,Italy,1,HighIncome,14,18.7445011138916
MUGLA,TUR,Turkey,2,N-Afr/MidEast,43.5,16.9332475662231
MULHOUSE,FRA,France,1,HighIncome,11.5,17.3349990844727
Mumbai,IND,India,3,S-Asia,63,42.7959976196289
MUNCHHAUSEN,FRA,France,1,HighIncome,13,19.24049949646
"Muncie, IN",USA,United States of America,1,HighIncome,10,10.4234981536865
Muonio,FIN,Finland,1,HighIncome,2,5.88650035858154
MURAS,ESP,Spain,1,HighIncome,6,7.61000061035156
MURCIA,ESP,Spain,1,HighIncome,15,11.4559993743896
MURSKA SOBOTA,SVN,Slovenia,4,E-Eur/C-Eur/C-Asia,21,16.8650035858154
MUS,TUR,Turkey,2,N-Afr/MidEast,51,21.1499996185303
Muscat,OMN,Oman,2,N-Afr/MidEast,35,36.8110046386719
"Muscatine, IA",USA,United States of America,1,HighIncome,10.5,8.71649932861328
Muswellbrook,AUS,Australia,1,HighIncome,9.180636144,2.56050252914429
MYSLIBORZ,POL,Poland,4,E-Eur/C-Eur/C-Asia,19,17.5670032501221
MYSZKOW,POL,Poland,4,E-Eur/C-Eur/C-Asia,30,22.9775104522705
N´è_´è__RNBERG,DEU,Germany,1,HighIncome,15.5,19.7607488632202
Nabih Saleh,BHR,Bahrain,2,N-Afr/MidEast,58,60.3849983215332
NADLAC,ROU,Romania,4,E-Eur/C-Eur/C-Asia,17,21.8415012359619
Nagaon,IND,India,3,S-Asia,42,52.4739952087402
Nagda,IND,India,3,S-Asia,55.3333333333333,48.1920051574707
Nagoya city,JPN,Japan,1,HighIncome,16,15.2468719482422
Nagpur,IND,India,3,S-Asia,55,44.0355033874512
Nairobi,KEN,Kenya,7,Sub-Saharan Afr,17,13.1725025177002
Nakhon Ratchasima,THA,Thailand,6,SE-Asia/E-Asia/Oceania,28,28.4059982299805
Nakhon Sawan,THA,Thailand,6,SE-Asia/E-Asia/Oceania,32,35.4284896850586
NAKLO,POL,Poland,4,E-Eur/C-Eur/C-Asia,32,20.2954998016357
Nalbari,IND,India,3,S-Asia,44,56.9724960327148
Nalgonda,IND,India,3,S-Asia,42,39.3654975891113
